description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
r17 + r21 + perfect emerald + exceptional set weapon -> elite set weapon	1			100					4	"weap,exc,set"	"r17g,qty=1"	"r21g,qty=1"	"gg4e,qty=1"				"useitem,mod,eli"																																																																																							0
r18 + r20 + perfect diamond + exceptional set armor -> elite set armor	1			100					4	"armo,exc,set"	"r18g,qty=1"	"r20g,qty=1"	"gg4d,qty=1"				"useitem,mod,eli"																																																																																							0
Puzzlebox 2h weapon	1			100					2	"2han,nos"	"lbox,qty=1"						useitem			100	sock			2	4																																																																															0
Puzzlebox Bow	1			100					2	"bow,nos"	"lbox,qty=1"						useitem			100	sock			2	4																																																																															0
Puzzlebox Bow	1			100					2	"xbow,nos"	"lbox,qty=1"						useitem			100	sock			2	4																																																																															0
Puzzlebox 1h weapon	1			100					2	"weap,nos"	"lbox,qty=1"						useitem			100	sock			1	2																																																																															0
Puzzlebox helm	1			100					2	"helm,nos"	"lbox,qty=1"						useitem			100	sock			1	2																																																																															0
Puzzlebox chest	1			100					2	"tors,nos"	"lbox,qty=1"						useitem			100	sock			1	2																																																																															0
Puzzlebox shield	1			100					2	"shld,nos"	"lbox,qty=1"						useitem			100	sock			1	2																																																																															0
Uber Diablo Map	1			100					3	"dcbl,qty=1"	"dcho,qty=1"	"dcso,qty=1"					dcma																																																																																							0
MAP CORRUPT																																																																																																								0
map heroed	1			2	30				2	"map,nor"	"std,qty=1"						useitem			100																																																																																				0
map corrupt	1			2	30				2	"map,nor"	"wss,qty=1"						useitem			100																																																																																				0
map heroed	1			100	18	458	0		2	map	"std,qty=1"						useitem			100	heroed	100		1	1	map-play-mag	100		20	20	map-play-gold	100		20	20	map-glob-density	100		20	20	map-play-addxp	100		10	10																																																											0
map corrupt	1	2		100	18	361	0		2	map	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
T1																																																																																																								0
Random rare				100	16	361	100		2	t1me	"wss,qty=1"						"usetype,rar"			100																																																																																				0
Random down tier				100	16	361	200		2	t1me	"wss,qty=1"						"usetype,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
Random up tier				100	16	361	300		2	t1me	"wss,qty=1"						"t2me,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
MOD																																																																																																								0
map-mon-deadlystrike	1	1		100	16	361	90		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		78	78	corruptnum	100		1001	1001	map-mon-deadlystrike	100		4	8	map-glob-density	100		30	40	map-play-addxp	100		4	6																																																											0
map-mon-nofreeze-hp%	1	1		100	16	361	180		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		79	79	corruptnum	100		1001	1001	map-mon-nofreeze-hp%	100		10	15	map-glob-density	100		30	40	map-play-addxp	100		6	8																																																											0
map-play-swing-cast	1	1		100	16	361	270		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		80	80	corruptnum	100		1001	1001	map-play-swing-cast	100		-15	-5	map-glob-density	100		30	40	map-glob-monsterrarity	100		10	15																																																											0
map-play-damageresist	1	1		100	16	361	360		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		81	81	corruptnum	100		1001	1001	map-play-damageresist	100		-10	-5	map-glob-density	100		30	40	map-glob-monsterrarity	100		10	15																																																											0
map-play-speed-all	1	1		100	16	361	450		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		82	82	corruptnum	100		1001	1001	map-play-speed-all	100		20	30	map-glob-monsterrarity	100		10	15																																																																0
map-play-mag-gold	1	1		100	16	361	540		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		83	83	corruptnum	100		1001	1001	map-play-mag-gold%	100		50	50	map-glob-monsterrarity	100		10	15																																																																0
map-glob-density	1	1		100	16	361	630		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		84	84	corruptnum	100		1001	1001	map-glob-density	100		60	80																																																																					0
map-glob-arealevel	1	1		100	16	361	720		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		85	85	corruptnum	100		1001	1001	map-glob-arealevel	100		1	1	map-glob-density	100		15	20																																																																0
map-glob-monsterrarity	1	1		100	16	361	810		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		86	86	corruptnum	100		1001	1001	map-glob-monsterrarity	100		30	40																																																																					0
map-play-res-all-max	1	1		100	16	361	900		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		87	87	corruptnum	100		1001	1001	map-play-res-all-max	100		-3	-2	map-glob-density	100		30	40	map-glob-monsterrarity	100		10	15																																																											0
map-mon-dropjewelry	1	1		100	16	361	990		2	t1me	"wss,qty=1"						useitem			100	corrupt	100		88	88	corruptnum	100		1001	1001	map-mon-dropjewelry	100		1	1																																																																					0
t1 > zhars sanctum	1	1		100	16	361	992		2	t1me	"wss,qty=1"						"t51,uni"			100														1	1																																																																					0
t1 > fallen gardens	1	1		100	16	361	994		2	t1me	"wss,qty=1"						"t53,uni"			100														1	1																																																																					0
t1 > imperial palace	1	1		100	16	361	996		2	t1me	"wss,qty=1"						"t54,uni"			100														1	1																																																																					0
t1 > warlord of blood	1	1		100	16	361	998		2	t1me	"wss,qty=1"						"t52,uni"			100														1	1																																																																					0
t1 > void map	1	1		100	16	361	1000		2	t1me	"wss,qty=1"						"t55,uni"			100														1	1																																																																					0
T2																																																																																																								0
Random rare				100	16	361	100		2	t2me	"wss,qty=1"						"usetype,rar"			100																																																																																				0
Random down tier				100	16	361	200		2	t2me	"wss,qty=1"						"t1me,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
Random up tier				100	16	361	300		2	t2me	"wss,qty=1"						"t3me,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
MOD																																																																																																								0
map-mon-deadlystrike	1	1		100	16	361	90		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		78	78	corruptnum	100		1001	1001	map-mon-deadlystrike	100		8	12	map-glob-density	100		40	50	map-play-addxp	100		6	8																																																											0
map-mon-nofreeze-hp%	1	1		100	16	361	180		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		79	79	corruptnum	100		1001	1001	map-mon-nofreeze-hp%	100		15	20	map-glob-density	100		40	50	map-play-addxp	100		8	10																																																											0
map-play-swing-cast	1	1		100	16	361	270		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		80	80	corruptnum	100		1001	1001	map-play-swing-cast	100		-25	-15	map-glob-density	100		40	50	map-glob-monsterrarity	100		15	20																																																											0
map-play-damageresist	1	1		100	16	361	360		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		81	81	corruptnum	100		1001	1001	map-play-damageresist	100		-15	-10	map-glob-density	100		40	50	map-glob-monsterrarity	100		15	20																																																											0
map-play-speed-all	1	1		100	16	361	450		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		82	82	corruptnum	100		1001	1001	map-play-speed-all	100		30	40	map-glob-monsterrarity	100		15	20																																																																0
map-play-mag-gold	1	1		100	16	361	540		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		83	83	corruptnum	100		1001	1001	map-play-mag-gold%	100		75	75	map-glob-monsterrarity	100		15	20																																																																0
map-glob-density	1	1		100	16	361	630		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		84	84	corruptnum	100		1001	1001	map-glob-density	100		80	100																																																																					0
map-glob-arealevel	1	1		100	16	361	720		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		85	85	corruptnum	100		1001	1001	map-glob-arealevel	100		1	1	map-glob-density	100		20	25																																																																0
map-glob-monsterrarity	1	1		100	16	361	810		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		86	86	corruptnum	100		1001	1001	map-glob-monsterrarity	100		40	50																																																																					0
map-play-res-all-max	1	1		100	16	361	900		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		87	87	corruptnum	100		1001	1001	map-play-res-all-max	100		-4	-3	map-glob-density	100		40	50	map-glob-monsterrarity	100		15	20																																																											0
map-mon-dropjewelry	1	1		100	16	361	990		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		88	88	corruptnum	100		1001	1001	map-mon-dropjewelry	100		1	1																																																																					0
t2 > zhars sanctum	1	1		100	16	361	992		2	t1me	"wss,qty=1"						"t51,uni"			100														1	1																																																																					0
t2 > fallen gardens	1	1		100	16	361	994		2	t1me	"wss,qty=1"						"t53,uni"			100														1	1																																																																					0
t2 > imperial palace	1	1		100	16	361	996		2	t1me	"wss,qty=1"						"t54,uni"			100														1	1																																																																					0
t2 > warlord of blood	1	1		100	16	361	998		2	t1me	"wss,qty=1"						"t52,uni"			100														1	1																																																																					0
t2 > void map	1	1		100	16	361	1000		2	t1me	"wss,qty=1"						"t55,uni"			100														1	1																																																																					0
T3																																																																																																								0
Random rare				100	16	361	100		2	t3me	"wss,qty=1"						"usetype,rar"			100																																																																																				0
Random down tier				100	16	361	200		2	t3me	"wss,qty=1"						"t2me,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
Random up tier				100	16	361	300		2	t3me	"wss,qty=1"						"t3me,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
MOD																																																																																																								0
map-mon-deadlystrike	1	1		100	16	361	90		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		78	78	corruptnum	100		1001	1001	map-mon-deadlystrike	100		12	16	map-glob-density	100		50	60	map-play-addxp	100		8	10																																																											0
map-mon-nofreeze-hp%	1	1		100	16	361	180		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		79	79	corruptnum	100		1001	1001	map-mon-nofreeze-hp%	100		20	25	map-glob-density	100		50	60	map-play-addxp	100		10	12																																																											0
map-play-swing-cast	1	1		100	16	361	270		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		80	80	corruptnum	100		1001	1001	map-play-swing-cast	100		-35	-25	map-glob-density	100		50	60	map-glob-monsterrarity	100		20	25																																																											0
map-play-damageresist	1	1		100	16	361	360		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		81	81	corruptnum	100		1001	1001	map-play-damageresist	100		-20	-15	map-glob-density	100		50	60	map-glob-monsterrarity	100		20	25																																																											0
map-play-speed-all	1	1		100	16	361	450		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		82	82	corruptnum	100		1001	1001	map-play-speed-all	100		40	50	map-glob-monsterrarity	100		20	25																																																																0
map-play-mag-gold	1	1		100	16	361	540		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		83	83	corruptnum	100		1001	1001	map-play-mag-gold%	100		100	100	map-glob-monsterrarity	100		20	25																																																																0
map-glob-density	1	1		100	16	361	630		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		84	84	corruptnum	100		1001	1001	map-glob-density	100		100	120																																																																					0
map-glob-arealevel	1	1		100	16	361	720		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		85	85	corruptnum	100		1001	1001	map-glob-arealevel	100		1	1	map-glob-density	100		25	30																																																																0
map-glob-monsterrarity	1	1		100	16	361	810		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		86	86	corruptnum	100		1001	1001	map-glob-monsterrarity	100		50	60																																																																					0
map-play-res-all-max	1	1		100	16	361	900		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		87	87	corruptnum	100		1001	1001	map-play-res-all-max	100		-5	-4	map-glob-density	100		50	60	map-glob-monsterrarity	100		20	25																																																											0
map-mon-dropjewelry	1	1		100	16	361	990		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		88	88	corruptnum	100		1001	1001	map-mon-dropjewelry	100		1	1																																																																					0
t3 > zhars sanctum	1	1		100	16	361	992		2	t1me	"wss,qty=1"						"t51,uni"			100														1	1																																																																					0
t3 > fallen gardens	1	1		100	16	361	994		2	t1me	"wss,qty=1"						"t53,uni"			100														1	1																																																																					0
t3 > imperial palace	1	1		100	16	361	996		2	t1me	"wss,qty=1"						"t54,uni"			100														1	1																																																																					0
t3 > warlord of blood	1	1		100	16	361	998		2	t1me	"wss,qty=1"						"t52,uni"			100														1	1																																																																					0
t3 > void map	1	1		100	16	361	1000		2	t1me	"wss,qty=1"						"t55,uni"			100														1	1																																																																					0
	0																																																																																																							0
CORRUPT ORB ITEM ROLLING	0																																																																																																							0
	0																																																																																																							0
PHASE 1	0																																																																																																							0
add corrupt factor to weapon	1	2		100	18	361	0		2	"weap,nos"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to armour	1	2		100	18	361	0		2	"armo,nos"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to belt (rathma belt)	1	2		100	18	361	0		2	"belt"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to amulet	1	2		100	18	361	0		2	"amul"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to ring	1	2		100	18	361	0		2	"ring"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to arrow	1	2		100	18	361	0		2	"misl"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to anni	1	2		100	18	361	0		2	"Annihilus"	"cwss,qty=1"						useitem			100	corruptnum	100		1	1000																					"cwss,qty=1"																																																										0
	0																																																																																																							0
PHASE 1 (normal)	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"weap,nos,nor"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (25%)	1	1		100	16	361	1000		2	"weap,nos,nor"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"armo,nos,nor"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> + sockets  (25%)	1	1		100	16	361	1000		2	"armo,nos,nor"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
PHASE 1 (superior)	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"weap,nos,hiq"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (25%)	1	1		100	16	361	1000		2	"weap,nos,hiq"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"armo,nos,hiq"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> + sockets  (25%)	1	1		100	16	361	1000		2	"armo,nos,hiq"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
PHASE 1 (low qual)	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"weap,nos,low"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (25%)	1	1		100	16	361	1000		2	"weap,nos,low"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"armo,nos,low"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> + sockets  (25%)	1	1		100	16	361	1000		2	"armo,nos,low"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
PHASE 2 (outcomes)	0																																																																																																							0
	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"weap,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (7.5%) -- bows	1	1		100	16	361	325		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (7%)	1	1		100	16	361	395		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (6%)	1	1		100	16	361	455		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		5	5	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (5.5%)	1	1		100	16	361	500		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		6	6	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (7.5%) --- xbows	1	1		100	16	361	325		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (7%)	1	1		100	16	361	395		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (6%)	1	1		100	16	361	455		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		5	5	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (5.5%)	1	1		100	16	361	500		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		6	6	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (7.5%) --- 2handers	1	1		100	16	361	325		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (7%)	1	1		100	16	361	395		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (6%)	1	1		100	16	361	455		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		5	5	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (5.5%)	1	1		100	16	361	500		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		6	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
THROWING WEAPONS (needs to be here before other corruptions) ----------	0																																																																																																							0
Tier 1	0																																																																																																							0
item -> added mod 1		1		100	16	361	287		2	thro	"wss,qty=1"						useitem			100	corrupt	100		2	2	corruptnum	100		1001	1001	dmg%	100		40	80																																																																					0
item -> added mod 2		1		100	16	361	325		2	thro	"wss,qty=1"						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	250																																																																					0
item -> added mod 3		1		100	16	361	362		2	thro	"wss,qty=1"						useitem			100	corrupt	100		4	4	corruptnum	100		1001	1001	heal-hit	100		3	6																																																																					0
item -> added mod 4		1		100	16	361	400		2	thro	"wss,qty=1"						useitem			100	corrupt	100		5	5	corruptnum	100		1001	1001	att-demon	100		200	200	dmg-demon	100		100	150																																																																0
item -> added mod 5		1		100	16	361	437		2	thro	"wss,qty=1"						useitem			100	corrupt	100		6	6	corruptnum	100		1001	1001	ease	100		-25	-50																																																																					0
item -> added mod 6		1		100	16	361	475		2	thro	"wss,qty=1"						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 1		1		100	16	361	512		2	thro	"wss,qty=1"						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		3	5																																																																					0
item -> added mod 2		1		100	16	361	550		2	thro	"wss,qty=1"						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		3	5																																																																					0
item -> added mod 3		1		100	16	361	587		2	thro	"wss,qty=1"						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		10	10																																																																					0
item -> added mod 4		1		100	16	361	625		2	thro	"wss,qty=1"						useitem			100	corrupt	100		77	77	corruptnum	100		1001	1001	att-undead	100		200	200	dmg-undead	100		100	150																																																																0
Tier 2																																																																																																								0
item -> added mod 5		1		100	16	361	647		2	thro	"wss,qty=1"						useitem			100	corrupt	100		12	12	corruptnum	100		1001	1001	pierce-fire	100		5	10																																																																					0
item -> added mod 6		1		100	16	361	670		2	thro	"wss,qty=1"						useitem			100	corrupt	100		13	13	corruptnum	100		1001	1001	pierce-ltng	100		5	10																																																																					0
item -> added mod 1		1		100	16	361	692		2	thro	"wss,qty=1"						useitem			100	corrupt	100		14	14	corruptnum	100		1001	1001	pierce-cold	100		5	10																																																																					0
item -> added mod 2		1		100	16	361	715		2	thro	"wss,qty=1"						useitem			100	corrupt	100		15	15	corruptnum	100		1001	1001	pierce-pois	100		5	10																																																																					0
item -> added mod 3		1		100	16	361	737		2	thro	"wss,qty=1"						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		20	20																																																																					0
item -> added mod 4		1		100	16	361	760		2	thro	"wss,qty=1"						useitem			100	corrupt	100		17	17	corruptnum	100		1001	1001	lifesteal	100		5	5	dmg%	100		40	60																																																																0
item -> added mod 5		1		100	16	361	782		2	thro	"wss,qty=1"						useitem			100	corrupt	100		18	18	corruptnum	100		1001	1001	att	100		200	300																																																																					0
item -> added mod 6		1		100	16	361	805		2	thro	"wss,qty=1"						useitem			100	corrupt	100		19	19	corruptnum	100		1001	1001	deadly	100		20	30																																																																					0
item -> added mod 1		1		100	16	361	827		2	thro	"wss,qty=1"						useitem			100	corrupt	100		20	20	corruptnum	100		1001	1001	swing1	100		30	40																																																																					0
item -> added mod 2		1		100	16	361	850		2	thro	"wss,qty=1"						useitem			100	corrupt	100		21	21	corruptnum	100		1001	1001	crush	100		20	30																																																																					0
Tier 3																																																																																																								0
item -> added mod 3		1		100	16	361	865		2	thro	"wss,qty=1"						useitem			100	corrupt	100		22	22	corruptnum	100		1001	1001	swing1	100		20	20	dmg%	100		80	120																																																																0
item -> added mod 4		1		100	16	361	880		2	thro	"wss,qty=1"						useitem			100	corrupt	100		23	23	corruptnum	100		1001	1001	swing1	100		30	30	crush	100		20	30																																																																0
item -> added mod 5		1		100	16	361	895		2	thro	"wss,qty=1"						useitem			100	corrupt	100		24	24	corruptnum	100		1001	1001	ignore-ac	100		1	1	dmg%	100		60	80																																																																0
item -> added mod 6		1		100	16	361	910		2	thro	"wss,qty=1"						useitem			100	corrupt	100		25	25	corruptnum	100		1001	1001	deadly	100		25	25	dmg%	100		50	70																																																																0
item -> added mod 1		1		100	16	361	925		2	thro	"wss,qty=1"						useitem			100	corrupt	100		26	26	corruptnum	100		1001	1001	att	100		250	250	dmg%	100		80	120																																																																0
item -> added mod 2		1		100	16	361	940		2	thro	"wss,qty=1"						useitem			100	corrupt	100		27	27	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3		1		100	16	361	955		2	thro	"wss,qty=1"						useitem			100	corrupt	100		28	28	corruptnum	100		1001	1001	extra-fire	100		5	5	cast2	100		10	10																																																																0
item -> added mod 4		1		100	16	361	970		2	thro	"wss,qty=1"						useitem			100	corrupt	100		29	29	corruptnum	100		1001	1001	extra-cold	100		5	5	cast2	100		10	10																																																																0
item -> added mod 5		1		100	16	361	985		2	thro	"wss,qty=1"						useitem			100	corrupt	100		30	30	corruptnum	100		1001	1001	extra-ltng	100		5	5	cast2	100		10	10																																																																0
item -> added mod 6		1		100	16	361	1000		2	thro	"wss,qty=1"						useitem			100	corrupt	100		31	31	corruptnum	100		1001	1001	extra-pois	100		5	5	cast2	100		10	10																																																																0
	0																																																																																																							0
weapon -> + sockets  (12%)	1	1		100	16	361	370		2	"weap,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (7%)	1	1		100	16	361	440		2	"weap,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (6%)	1	1		100	16	361	500		2	"weap,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"boot"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"glov"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"belt"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"tors,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"helm,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"shld,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
	0																																																																																																							0
armour -> + 1 sockets  (12%)	1	1		100	16	361	370		2	"tors,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
armour -> + 2 sockets  (7%)	1	1		100	16	361	440		2	"tors,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
armour -> + 3 sockets  (6%)	1	1		100	16	361	500		2	"tors,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> + 1 sockets  (12%)	1	1		100	16	361	370		2	"helm,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
armour -> + 2 sockets  (7%)	1	1		100	16	361	440		2	"helm,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
armour -> + 3 sockets  (6%)	1	1		100	16	361	500		2	"helm,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> + 1 sockets  (12%)	1	1		100	16	361	370		2	"shld,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
armour -> + 2 sockets  (7%)	1	1		100	16	361	440		2	"shld,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
armour -> + 3 sockets  (6%)	1	1		100	16	361	500		2	"shld,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
