Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Cobalt	354	1	1	1	55		41				2	117	res-cold		21	30											weap							orb							0
Sapphire	355	1	1	1	25		18				3	117	res-cold		31	40									1	lblu	rod	boot	amul	orb	circ	tors	helm	shld							0
Lapis Lazuli	356	100	1	1	2		1				4	117	res-cold		5	15									1	lblu	jewl														0
Sapphire	357	100	1	1	19		14				4	117	res-cold		16	30									1	lblu	jewl														0
Crimson	358	100	1	1	1		1				2	118	res-fire		7	15											lcha														0
Russet	359	100	1	1	10		7				2	118	res-fire		16	20											lcha														0
Garnet	360	100	1	1	20		15				2	118	res-fire		21	25									1	lred	lcha														0
Ruby	361	100	1		30		22				2	118	res-fire		26	30									1	lred	lcha														0
Crimson	362	100	1	1	1		1				2	118	res-fire		4	7											mcha														0
Russet	363	100	1	1	16		12				2	118	res-fire		8	10											mcha														0
Garnet	364	100	1	1	25		18				2	118	res-fire		11	12									1	lred	mcha														0
Ruby	365	100	1		35		27				2	118	res-fire		13	15									1	lred	mcha														0
Crimson	366	100	1	1	1		1				2	118	res-fire		3	5											scha														0
Russet	367	100	1	1	14		10				2	118	res-fire		6	7											scha														0
Garnet	368	100	1		27		20				2	118	res-fire		8	9											scha														0
Ruby	369	100	1	1	40		32				2	118	res-fire		10	11											scha														0
Russet	370	1	1	1	12		9				4	118	res-fire		11	20											armo	ring	amul	orb	circ	misl									0
Russet	371	1	1	1	35		26				1	118	res-fire		11	20											weap							orb							0
Garnet	372	1	1	1	18		13				3	118	res-fire		21	30											armo	ring	amul	orb	circ	misl									0
Garnet	373	1	1	1	55		41				1	118	res-fire		21	30											weap							orb							0
Ruby	374	1	1	1	25		18				3	118	res-fire		31	40									1	lred	rod	boot	amul	orb	circ	tors	helm	shld							0
Garnet	375	100	1	1	2		1				4	117	res-fire		5	15									1	lred	jewl														0
Ruby	376	100	1	1	18		13				4	117	res-fire		16	30									1	lred	jewl														0
Tangerine	377	100	1	1	1		1				2	119	res-ltng		7	15											lcha														0
Ocher	378	100	1	1	10		7				2	119	res-ltng		16	20											lcha														0
Coral	379	100	1	1	20		15				2	119	res-ltng		21	25									1	lyel	lcha														0
Amber	380	100	1		30		22				2	119	res-ltng		26	30									1	lyel	lcha														0
Tangerine	381	100	1	1	1		1				2	119	res-ltng		4	7											mcha														0
Ocher	382	100	1	1	16		12				2	119	res-ltng		8	10											mcha														0
Coral	383	100	1	1	25		18				2	119	res-ltng		11	12									1	lyel	mcha														0
Amber	384	100	1		35		27				2	119	res-ltng		13	15									1	lyel	mcha														0
Tangerine	385	100	1	1	1		1				2	119	res-ltng		3	5											scha														0
Ocher	386	100	1	1	14		10				2	119	res-ltng		6	7											scha														0
Coral	387	100	1	1	27		20				2	119	res-ltng		8	9											scha														0
Amber	388	100	1		40		32				2	119	res-ltng		10	11											scha														0
Tangerine	389	1	1	1	5	45	3				4	119	res-ltng		5	10											armo	weap	ring	amul	orb	circ	misl								0
Ocher	390	1	1	1	12		9				4	119	res-ltng		11	20											armo	ring	amul	orb	circ	misl									0
Ocher	391	1	1	1	35		26				1	119	res-ltng		11	20											weap							orb							0
Coral	392	1	1	1	18		13				3	119	res-ltng		21	30											armo	ring	amul	orb	circ	misl									0
Coral	393	1	1	1	55		41				1	119	res-ltng		21	30											weap							orb							0
Amber	394	1	1	1	25		18				3	119	res-ltng		31	40									1	lyel	rod	boot	amul	orb	circ	tors	helm	shld							0
Camphor	395	100	1	1	2		1				4	117	res-ltng		5	15									1	lyel	jewl														0
Ambergris	396	100	1	1	19		14				4	117	res-ltng		16	30									1	lyel	jewl														0
Beryl	397	100	1	1	1		1				2	120	res-pois		7	15											lcha														0
Viridian	398	100	1	1	10		7				2	120	res-pois		16	20											lcha														0
Jade	399	100	1	1	20		15				2	120	res-pois		21	25									1	cgrn	lcha														0
Emerald	400	100	1		30		22				2	120	res-pois		26	30									1	cgrn	lcha														0
Beryl	401	100	1	1	1		1				2	120	res-pois		4	7											mcha														0
Viridian	402	100	1	1	16		12				2	120	res-pois		8	10											mcha														0
Jade	403	100	1	1	25		18				2	120	res-pois		11	12									1	cgrn	mcha														0
Emerald	404	100	1		35		27				2	120	res-pois		13	15									1	cgrn	mcha														0
Beryl	405	100	1	1	1		1				2	120	res-pois		3	5											scha														0
Viridian	406	100	1	1	14		10				2	120	res-pois		6	7											scha														0
Jade	407	100	1	1	27		20				2	120	res-pois		8	9											scha														0
Emerald	408	100	1		40		32				2	120	res-pois		10	11											scha														0
Beryl	409	1	1	1	5	45	3				4	120	res-pois		5	10											armo	weap	ring	amul	orb	circ	misl								0
Viridian	410	1	1	1	12		9				4	120	res-pois		11	20											armo	ring	amul	orb	circ	misl									0
Viridian	411	1	1	1	35		26				1	120	res-pois		11	20											weap							orb							0
Jade	412	1	1	1	18		13				3	120	res-pois		21	30											armo	ring	amul	orb	circ	misl									0
Jade	413	1	1	1	55		41				1	120	res-pois		21	30											weap							orb							0
Emerald	414	1	1	1	25		18				3	120	res-pois		31	40									1	cgrn	rod	boot	amul	orb	circ	tors	helm	shld							0
Beryl	415	100	1	1	2		1				4	117	res-pois		5	15									1	cgrn	jewl														0
Jade	416	100	1	1	19		14				4	117	res-pois		16	30									1	cgrn	jewl														0
Triumphant	417	1	1	1	3	43	2				4	121	mana-kill		1	1											weap	ring	circ	tors	helm	shld	misl								0
Victorious	418	100	1	1	17		12				4	121	mana-kill		2	5											weap	circ	tors	helm	shld	misl									0
Aureolin	419	100	1	1	12		9				4	121	mana-kill		1	3											jewl	tors	helm	shld	misl										0
Mechanist's	420	100	1	1	10		7				3	122	sock		1	2											weap	shld	helm	tors	circ			thro							0
Artificer's	421	100	1		33		25				2	122	sock	3													weap	shld	helm	tors				thro							0
Jeweler's	422	100	1		55		47				1	122	sock	4													weap	shld	helm	tors				thro							0
Assamic	423	100	1	1	3	43	1				2	123	att-demon		25	50	dmg-demon		10	25							weap	circ						wand	orb						0
Arcadian	424	100	1	1	15	55	11				2	123	att-demon		51	100	dmg-demon		26	50							weap	circ	helm					wand	orb						0
Unearthly	425	100	1	1	25		18				1	123	att-demon		101	150	dmg-demon		51	100							weap							wand	orb						0
Astral	426	100	1	1	35		26				1	123	att-demon		151	200	dmg-demon		101	150							weap							wand	orb						0
Elysian	427	100	1	1	45		33				1	123	att-demon		201	300	dmg-demon		151	200					1	dgld	weap							wand	orb						0
Celestial	428	100	1		55		41				1	123	att-demon		301	400	dmg-demon		201	300					1	dgld	weap							wand	orb						0
Diamond	429	100	1	1	26		19				1	123	att-demon		25	50	dmg-demon		25	40							jewl														0
Fletcher's	430	100	1		50		42	ama			4	125	skilltab	0	1	1											lcha	lchp													0
Acrobat's	431	100	1		50		42	ama			4	125	skilltab	1	1	1											lcha	lchp													0
Harpoonist's	432	100	1		50		42	ama			4	125	skilltab	2	1	1											lcha	lchp													0
Fletcher's	433	100	1	1	20		15	ama			1	125	skilltab	0	1	1											miss	glov	circ	misl	amul										0
Bowyer's	434	100	1	1	40		30	ama			1	125	skilltab	0	2	2									1	lgld	miss	glov	circ	misl	amul										0
Archer's	435	100	1		60		45	ama			1	125	skilltab	0	3	3									1	lgld	miss	glov	circ	misl	amul										0
Acrobat's	436	100	1	1	20		15	ama			1	125	skilltab	1	1	1											glov	amul	circ	misl											0
Gymnast's	437	100	1	1	40		30	ama			1	125	skilltab	1	2	2									1	lgld	glov	amul	circ	misl											0
Athlete's	438	100	1		60		45	ama			1	125	skilltab	1	3	3									1	lgld	glov	amul	circ	misl											0
Harpoonist's	439	100	1	1	20		15	ama			1	125	skilltab	2	1	1											spea	glov	amul	circ											0
Spearmaiden's	440	100	1	1	40		30	ama			1	125	skilltab	2	2	2									1	lgld	spea	glov	amul	circ											0
Lancer's	441	100	1	1	60		45	ama			1	125	skilltab	2	3	3									1	lgld	spea														0
Burning	442	100	1	1	50		42	sor			4	125	skilltab	3	1	1											lcha	lchp													0
Sparking	443	100	1	1	50		42	sor			4	125	skilltab	4	1	1											lcha	lchp													0
Chilling	444	100	1	1	50		42	sor			4	125	skilltab	5	1	1											lcha	lchp													0
Burning	445	100	1	1	20		15	sor			1	125	skilltab	3	1	1											staf	orb	amul	circ											0
Blazing	446	100	1	1	40		30	sor			1	125	skilltab	3	2	2									1	lgld	staf	orb	amul	circ											0
Volcanic	447	100	1		60		45	sor			1	125	skilltab	3	3	3									1	lgld	staf	orb	amul	circ											0
Sparking	448	100	1	1	20		15	sor			1	125	skilltab	4	1	1											staf	orb	amul	circ											0
Charged	449	100	1	1	40		30	sor			1	125	skilltab	4	2	2									1	lgld	staf	orb	amul	circ											0
Powered	450	100	1		60		45	sor			1	125	skilltab	4	3	3									1	lgld	staf	orb	amul	circ											0
Chilling	451	100	1	1	20		15	sor			1	125	skilltab	5	1	1											staf	orb	amul	circ											0
Freezing	452	100	1	1	40		30	sor			1	125	skilltab	5	2	2									1	lgld	staf	orb	amul	circ											0
Glacial	453	100	1		60		45	sor			1	125	skilltab	5	3	3									1	lgld	staf	orb	amul	circ											0
Hexing	454	100	1	1	50		42	nec			4	125	skilltab	6	1	1											lcha	lchp													0
Fungal	455	100	1	1	50		42	nec			4	125	skilltab	7	1	1											lcha	lchp													0
Graverobber's	456	100	1	1	50		42	nec			4	125	skilltab	8	1	1											lcha	lchp													0
Hexing	457	100	1	1	20		15	nec			1	125	skilltab	6	1	1											wand	head	amul	circ											0
Blighting	458	100	1	1	40		30	nec			1	125	skilltab	6	2	2									1	lgld	wand	head	amul	circ											0
Accursed	459	100	1		60		45	nec			1	125	skilltab	6	3	3									1	lgld	wand	head	amul	circ											0
Fungal	460	100	1	1	20		15	nec			1	125	skilltab	7	1	1											wand	head	amul	knif	circ			tkni							0
Noxious	461	100	1	1	40		30	nec			1	125	skilltab	7	2	2									1	lgld	wand	head	amul	knif	circ			tkni							0
Venomous	462	100	1		60		45	nec			1	125	skilltab	7	3	3									1	lgld	wand	head	amul	knif	circ			tkni							0
Graverobber's	463	100	1	1	20		15	nec			1	125	skilltab	8	1	1											wand	head	amul	circ											0
Vodoun	464	100	1	1	40		30	nec			1	125	skilltab	8	2	2									1	lgld	wand	head	amul	circ											0
Golemlord's	465	100	1		60		45	nec			1	125	skilltab	8	3	3									1	lgld	wand	head	amul	circ											0
Lion Branded	466	100	1	1	50		42	pal			4	125	skilltab	9	1	1											lcha	lchp													0
Captain's	467	100	1	1	50		42	pal			4	125	skilltab	10	1	1											lcha	lchp													0
Preserver's	468	100	1	1	50		42	pal			4	125	skilltab	11	1	1											lcha	lchp													0
Lion Branded	469	100	1	1	20		15	pal			1	125	skilltab	9	1	1											scep	swor	mace	shld	ashd	amul	circ								0
Hawk Branded	470	100	1	1	40		30	pal			1	125	skilltab	9	2	2									1	lgld	scep	swor	mace	shld	ashd	amul	circ								0
Rose Branded	471	100	1		60		45	pal			1	125	skilltab	9	3	3									1	lgld	scep	swor	mace	shld	ashd	amul	circ								0
Captain's	472	100	1	1	20		15	pal			1	125	skilltab	10	1	1											scep	swor	mace	shld	ashd	amul	circ								0
Commander's	473	100	1	1	40		30	pal			1	125	skilltab	10	2	2									1	lgld	scep	swor	mace	shld	ashd	amul	circ								0
Marshal's	474	100	1		60		45	pal			1	125	skilltab	10	3	3									1	lgld	scep	swor	mace	shld	ashd	amul	circ								0
Preserver's	475	100	1	1	20		15	pal			1	125	skilltab	11	1	1											shld	ashd	amul	circ											0
Warder's	476	100	1	1	40		30	pal			1	125	skilltab	11	2	2									1	lgld	shld	ashd	amul	circ											0
Guardian's	477	100	1		60		45	pal			1	125	skilltab	11	3	3									1	lgld	shld	ashd	amul	circ											0
Expert's	478	100	1	1	50		42	bar			4	125	skilltab	12	1	1											lcha	lchp													0
Fanatic	479	100	1	1	50		42	bar			4	125	skilltab	13	1	1											lcha	lchp													0
Sounding	480	100	1	1	50		42	bar			4	125	skilltab	14	1	1											lcha	lchp													0
Expert's	481	100	1	1	20		15	bar			1	125	skilltab	12	1	1											phlm	weap	helm					miss	rod	knif					0
Veteran's	482	100	1	1	40		30	bar			1	125	skilltab	12	2	2									1	lgld	phlm	weap	helm					miss	rod	knif					0
Master's	483	100	1		60		45	bar			1	125	skilltab	12	3	3									1	lgld	phlm	weap	helm					miss	rod	knif					0
Fanatic	484	100	1	1	20		15	bar			1	125	skilltab	13	1	1											phlm	weap	amul					miss	rod	knif					0
Raging	485	100	1	1	40		30	bar			1	125	skilltab	13	2	2									1	lgld	phlm	weap	amul					miss	rod	knif					0
Furious	486	100	1		60		45	bar			1	125	skilltab	13	3	3									1	lgld	phlm	weap	amul					miss	rod	knif					0
Sounding	487	100	1	1	20		15	bar			1	125	skilltab	14	1	1											phlm	weap	amul					miss	rod	knif					0
Resonant	488	100	1	1	40		30	bar			1	125	skilltab	14	2	2									1	lgld	phlm	weap	amul					miss	rod	knif					0
Echoing	489	100	1		60		45	bar			1	125	skilltab	14	3	3									1	lgld	phlm	weap	amul					miss	rod	knif					0
Trainer's	490	100	1	1	50		42	dru			4	125	skilltab	15	1	1											lcha	lchp													0
Spiritual	491	100	1	1	50		42	dru			4	125	skilltab	16	1	1											lcha	lchp													0
Nature's	492	100	1	1	50		42	dru			4	125	skilltab	17	1	1											lcha	lchp													0
Trainer's	493	100	1	1	20		15	dru			1	125	skilltab	15	1	1											club	pelt	amul	circ											0
Caretaker's	494	100	1	1	40		30	dru			1	125	skilltab	15	2	2									1	lgld	club	pelt	amul	circ											0
Keeper's	495	100	1		60		45	dru			1	125	skilltab	15	3	3									1	lgld	club	pelt	amul	circ											0
Spiritual	496	100	1	1	20		15	dru			1	125	skilltab	16	1	1											club	pelt	amul	circ											0
Feral	497	100	1	1	40		30	dru			1	125	skilltab	16	2	2									1	lgld	club	pelt	amul	circ											0
Communal	498	100	1		60		45	dru			1	125	skilltab	16	3	3									1	lgld	club	pelt	amul	circ											0
Nature's	499	100	1	1	20		15	dru			1	125	skilltab	17	1	1											club	pelt	amul	circ											0
Terra's	500	100	1	1	40		30	dru			1	125	skilltab	17	2	2									1	lgld	club	pelt	amul	circ											0
Gaea's	501	100	1		60		45	dru			1	125	skilltab	17	3	3									1	lgld	club	pelt	amul	circ											0
Entrapping	502	100	1	1	50		42	ass			4	125	skilltab	18	1	1											lcha	lchp													0
Mentalist's	503	100	1	1	50		42	ass			4	125	skilltab	19	1	1											lcha	lchp													0
Shogukusha's	504	100	1	1	50		42	ass			4	125	skilltab	20	1	1											lcha	lchp													0
Entrapping	505	100	1	1	20		15	ass			1	125	skilltab	18	1	1											h2h	amul	circ	knif				tkni							0
Trickster's	506	100	1	1	40		30	ass			1	125	skilltab	18	2	2									1	lgld	h2h	amul	circ	knif				tkni							0
Cunning	507	100	1		60		45	ass			1	125	skilltab	18	3	3									1	lgld	h2h	amul	circ	knif				tkni							0
Mentalist's	508	100	1	1	20		15	ass			1	125	skilltab	19	1	1											h2h	amul	helm	circ	knif			tkni							0
Psychic	509	100	1	1	40		30	ass			1	125	skilltab	19	2	2									1	lgld	h2h	amul	helm	circ	knif			tkni							0
Shadow	510	100	1		60		45	ass			1	125	skilltab	19	3	3									1	lgld	h2h	amul	helm	circ	knif			tkni							0
Shogukusha's	511	100	1	1	20		15	ass			1	125	skilltab	20	1	1											h2h	amul	glov	circ	knif			tkni							0
Sensei's	512	100	1	1	40		30	ass			1	125	skilltab	20	2	2									1	lgld	h2h	amul	glov	circ	knif			tkni							0
Kenshi's	513	100	1		60		45	ass			1	125	skilltab	20	3	3									1	lgld	h2h	amul	glov	circ	knif			tkni							0
Miocene	514	100			1		1				1	101	ac/lvl	6											1	whit	tors														0
Miocene	515	100		1	1		1				1	101	ac/lvl	1											1	whit	glov	boot	belt	shld											0
Oligocene	516	100		1	10		7				1	101	ac/lvl	9											1	whit	tors														0
Oligocene	517	100		1	10		7				1	101	ac/lvl	2											1	whit	glov	boot	belt	shld											0
Eocene	518	100		1	20		15				1	101	ac/lvl	18											1	whit	tors														0
Eocene	519	100		1	20		15				1	101	ac/lvl	3											1	whit	glov	boot	belt	shld											0
Paleocene	520	100	1	1	30		22				4	101	ac/lvl	24											1	whit	tors														0
Paleocene	521	100	1	1	30		22				3	101	ac/lvl	4											1	whit	glov	boot	belt	shld											0
Knave's	522	100			1		1				1	111	dmg/lvl	1			att/lvl	10							1	whit	weap							staf	wand	orb					0
Jack's	523	100		1	10		7				1	111	dmg/lvl	2			att/lvl	15							1	whit	weap							staf	wand	orb					0
Jester's	524	100		1	20		15				1	111	dmg/lvl	3			att/lvl	22							1	whit	weap							staf	wand	orb					0
Joker's	525	100		1	35		26				1	111	dmg/lvl	4			att/lvl	33							1	whit	weap							staf	wand	orb					0
Trump	526	100	1	1	50		37				7	111	dmg/lvl	4			att/lvl	33							1	whit	weap							staf	wand	orb					0
Loud	527	100			1		1				1	105	dmg/lvl	2											1	whit	weap							staf	wand	orb					0
Calling	528	100		1	10		7				1	105	dmg/lvl	3											1	whit	weap							staf	wand	orb					0
Yelling	529	100		1	20		15				1	105	dmg/lvl	4											1	whit	weap							staf	wand	orb					0
Shouting	530	100		1	35		26				1	105	dmg/lvl	5											1	whit	weap							staf	wand	orb					0
Gritty	531	100	1	1	50		37				7	105	dmg/lvl	6											1	whit	weap							staf	wand	orb					0
Paradox	532	100		1	25		18				1	101	ac%/lvl	12											1	whit	tors														0
Paradox	533	100		1	25		18				1	105	dmg%/lvl	12											1	whit	weap							staf	wand	orb					0
Robineye	534	100			1		1				1	111	att/lvl	4											1	whit	weap							staf	wand	orb					0
Sparroweye	535	100			10		7				1	111	att/lvl	6											1	whit	weap							staf	wand	orb					0
Falconeye	536	100			20		15				1	111	att/lvl	8											1	whit	weap							staf	wand	orb					0
Hawkeye	537	100	1		35		26				7	111	att/lvl	12											1	whit	weap							staf	wand	orb					0
Eagleeye	538	100			50		37				1	111	att/lvl	16											1	whit	weap							staf	wand	orb					0
Visionary	539	100	1	1	25		18				1	111	att%/lvl	2											1	whit	helm	miss													0
Mnemonic	540	100	1	1	25		18				1	115	mana/lvl	6											1	cblu	helm														0
Snowflake	541	100	1	1	25	65	18				3	137	cold-len		25	25	cold-min		20	30	cold-max		64	101	1	lblu	weap	misl													0
Shivering	542	100	1	1	35		26				2	137	cold-len		50	50	cold-min		37	56	cold-max		115	166	1	lblu	weap	misl													0
Boreal	543	100	1	1	50		40				1	137	cold-len		75	75	cold-min		46	62	cold-max		131	256	1	lblu	weap	misl													0
Hibernal	544	100	1	1	70		60				1	137	cold-len		100	100	cold-min		60	112	cold-max		226	348	1	lblu	weap	misl													0
Ember	545	100	1	1	25	65	18				3	138	fire-min		28	43	fire-max		53	103					1	dred	weap	misl													0
Smoldering	546	100	1	1	35		26				2	138	fire-min		47	72	fire-max		109	161					1	dred	weap	misl													0
Smoking	547	100	1	1	47		37				1	138	fire-min		81	128	fire-max		145	208					1	dred	weap	misl													0
Flaming	548	100	1	1	61		51				1	138	fire-min		138	204	fire-max		224	306					1	dred	weap	misl													0
Scorching	549	100	1	1	77		67				1	138	fire-min		217	306	fire-max		325	432					1	dred	weap	misl													0
Static	550	100	1	1	25	65	18				3	139	ltng-min		1	1	ltng-max		49	120					1	lyel	weap	circ	misl												0
Glowing	551	100	1	1	34		25				2	139	ltng-min		1	1	ltng-max		121	180					1	lyel	weap	misl													0
Buzzing	552	100	1	1	46		36				1	139	ltng-min		1	1	ltng-max		181	260					1	lyel	weap	misl													0
Arcing	553	100	1	1	60		50				1	139	ltng-min		1	1	ltng-max		287	396					1	lyel	weap	misl													0
Shocking	554	100	1	1	76		66				1	139	ltng-min		1	1	ltng-max		433	576					1	lyel	weap	misl													0
Septic	555	100	1	1	1	41	1				3	140	dmg-pois	50	31	31									1	dgrn	weap	circ	misl												0
Envenomed	556	100	1	1	10	50	7				2	140	dmg-pois	50	123	123									1	dgrn	weap	misl													0
Corosive	557	100	1	1	20		15				1	140	dmg-pois	50	400	400									1	dgrn	weap	misl													0
Toxic	558	100	1	1	35		26				1	140	dmg-pois	50	1160	1160									1	dgrn	weap	misl													0
Pestilent	559	100	1	1	50		37				1	140	dmg-pois	50	1970	1970									1	dgrn	weap	misl													0
Maiden's	560	1	1	1	36		27	ama			4	125	ama		1	1											amul	circ													0
Valkyrie's	561	1	1	1	90		67	ama			2	125	ama		2	2									1	cgrn	amul	circ													0
Maiden's	562	1	1	1	30		22	ama			4	125	ama		1	1											miss	spea													0
Valkyrie's	563	1	1	1	50		42	ama			2	125	ama		2	2									1	cgrn	miss	spea													0
Monk's	564	1	1	1	36		27	pal			4	125	pal		1	1											amul	circ													0
Priest's	565	1	1	1	90		67	pal			2	125	pal		2	2									1	cgrn	amul	circ													0
Monk's	566	1	1	1	30		22	pal			4	125	pal		1	1											scep	ashd													0
Priest's	567	1	1	1	50		42	pal			2	125	pal		2	2									1	cgrn	scep	ashd													0
Monk's	568	1	1	1	35		27	pal			4	125	pal		1	1											swor	mace	hamm	shld											0
Priest's	569	1	1	1	65		58	pal			2	125	pal		2	2									1	cgrn	swor	mace	hamm	shld											0
Summoner's	570	1	1	1	36		27	nec			4	125	nec		1	1											amul	circ													0
Necromancer's	571	1	1	1	90		67	nec			2	125	nec		2	2									1	cgrn	amul	circ													0
Summoner's	572	1	1	1	30		22	nec			4	125	nec		1	1											wand	knif	head					tkni							0
Necromancer's	573	1	1	1	50		42	nec			2	125	nec		2	2									1	cgrn	wand	knif	head					tkni							0
Angel's	574	1	1	1	36		27	sor			4	125	sor		1	1											amul	circ													0
Arch-Angel's	575	1	1	1	90		67	sor			2	125	sor		2	2									1	cgrn	amul	circ													0
Angel's	576	1	1	1	30		22	sor			4	125	sor		1	1											staf	orb													0
Arch-Angel's	577	1	1	1	50		42	sor			2	125	sor		2	2									1	cgrn	staf	orb													0
Slayer's	578	1	1	1	36		27	bar			4	125	bar		1	1											amul	circ													0
Berserker's	579	1	1	1	90		67	bar			2	125	bar		2	2									1	cgrn	amul	circ													0
Slayer's	580	1	1	1	30		22	bar			4	125	bar		1	1											tkni	axe	spea	club	swor	hamm	mace	jave							0
Berserker's	581	1	1	1	50		42	bar			1	125	bar		2	2									1	cgrn	tkni	axe	spea	club	swor	hamm	mace	jave							0
Slayer's	582	100	1	1	30		22	bar			4	125	bar		1	1											phlm														0
Berserker's	583	100	1	1	50		42	bar			2	125	bar		2	2									1	cgrn	phlm														0
Shaman's	584	100	1	1	36		27	dru			4	125	dru		1	1											amul	circ													0
Hierophant's	585	100	1	1	90		67	dru			2	125	dru		2	2									1	cgrn	amul	circ													0
Shaman's	586	100	1	1	30		22	dru			4	125	dru		1	1											club	pelt													0
Hierophant's	587	100	1	1	50		42	dru			2	125	dru		2	2									1	cgrn	club	pelt													0
Magekiller's	588	100	1	1	36		27	ass			4	125	ass		1	1											amul	circ													0
Witch-hunter's	589	100	1	1	90		67	ass			2	125	ass		2	2									1	cgrn	amul	circ													0
Magekiller's	590	100	1	1	30		22	ass			4	125	ass		1	1											h2h	knif						tkni							0
Witch-hunter's	591	100	1	1	50		42	ass			2	125	ass		2	2									1	cgrn	h2h	knif						tkni							0
Compact	592	100			1		1				0	141	stack		20	40											thro														0
Thin	593	100			17		12				0	141	stack		41	80											thro														0
Dense	594	100			38		30				0	141	stack		81	120											thro														0
Consecrated	595	100	1	1	1	41	1				4	142	att-undead		25	75	dmg-undead		25	75							weap							wand	orb						0
Pure	596	100	1	1	15		11				3	142	att-undead		76	175	dmg-undead		76	125						lgld	weap							wand	orb						0
Sacred	597	100	1	1	25		18				2	142	att-undead		175	250	dmg-undead		126	200						lgld	weap							wand	orb						0
Hallowed	598	100	1	1	35		27				1	142	att-undead		251	325	dmg-undead		201	275						lgld	weap							wand	orb						0
Divine	599	100	1		45		37				1	142	att-undead		326	450	dmg-undead		276	350						lgld	weap							wand	orb						0
Pearl	600	100	1	1	18		13				1	142	att-undead		25	50	dmg-undead		25	50							jewl														0
Crimson	601	1	1	1	5	45	3				4	118	res-fire		5	10											armo	ring	amul	orb	circ	weap	misl								0
Red	602	100	1	1	15		11				4	103	dmg-min		1	1									1	dred	lcha														0
Sanguinary	603	100	1	1	45		37				4	103	dmg-min		2	2									1	dred	lcha														0
Bloody	604	100	1		75		67				4	103	dmg-min		3	3									1	dred	lcha														0
Red	605	100	1	1	30		22				4	103	dmg-min		1	1									1	dred	mcha														0
Sanguinary	606	100	1		60		52				4	103	dmg-min		2	2									1	dred	mcha														0
Red	607	100	1	1	90		82				4	103	dmg-min		1	1											scha														0
Jagged	608	100	1	1	7		5				4	104	dmg-max		1	1									1	blac	lcha														0
Forked	609	100	1	1	37		29				4	104	dmg-max		2	2									1	blac	lcha														0
Serrated	610	100	1		67		59				4	104	dmg-max		3	3									1	blac	lcha														0
Jagged	611	100	1	1	22		16				4	104	dmg-max		1	1									1	blac	mcha														0
Forked	612	100	1		52		44				4	104	dmg-max		2	2									1	blac	mcha														0
Jagged	613	100	1	1	81		73				4	104	dmg-max		1	1											scha														0
Snowflake	614	100	1	1	27		20				2	137	cold-len		25	25	cold-min		3	5	cold-max		5	11			lcha														0
Shivering	615	100	1	1	42		34				1	137	cold-len		25	25	cold-min		8	11	cold-max		12	22			lcha														0
Boreal	616	100	1	1	66		58				1	137	cold-len		25	25	cold-min		11	16	cold-max		27	43	1	lblu	lcha														0
Hibernal	617	100	1		91		83				1	137	cold-len		25	25	cold-min		30	35	cold-max		54	73	1	lblu	lcha														0
Snowflake	618	100	1	1	18		13				2	137	cold-len		25	25	cold-min		2	4	cold-max		4	8			mcha														0
Shivering	619	100	1	1	29		21				1	137	cold-len		25	25	cold-min		6	8	cold-max		10	16			mcha														0
Boreal	620	100	1	1	49		41				1	137	cold-len		25	25	cold-min		12	16	cold-max		20	30	1	lblu	mcha														0
Hibernal	621	100	1		69		61				1	137	cold-len		25	25	cold-min		22	26	cold-max		40	54	1	lblu	mcha														0
Snowflake	622	100	1	1	9		6				2	137	cold-len		25	25	cold-min		1	2	cold-max		2	4			scha														0
Shivering	623	100	1	1	15		11				1	137	cold-len		25	25	cold-min		3	4	cold-max		5	8			scha														0
Boreal	624	100	1	1	30		22				1	137	cold-len		25	25	cold-min		6	8	cold-max		10	16			scha														0
Hibernal	625	100	1		45		38				1	137	cold-len		25	25	cold-min		11	13	cold-max		20	27			scha														0
Ember	626	100	1	1	21		15				2	138	fire-min		1	1	fire-max		2	3							lcha														0
Smoldering	627	100	1	1	40		32				1	138	fire-min		5	8	fire-max		11	27							lcha														0
Smoking	628	100	1	1	64		56				1	138	fire-min		11	24	fire-max		30	51					1	lred	lcha														0
Flaming	629	100	1		89		81				1	138	fire-min		27	51	fire-max		54	78					1	lred	lcha														0
Ember	630	100	1	1	13		9				2	138	fire-min		2	2	fire-max		4	6							mcha														0
Smoldering	631	100	1	1	27		20				1	138	fire-min		4	6	fire-max		8	20							mcha														0
Smoking	632	100	1	1	47		39				1	138	fire-min		8	18	fire-max		22	38					1	lred	mcha														0
Flaming	633	100	1		67		59				1	138	fire-min		20	38	fire-max		40	58					1	lred	mcha														0
Ember	634	100	1	1	5		3				2	138	fire-min		1	1	fire-max		2	3							scha														0
Smoldering	635	100	1	1	15		11				1	138	fire-min		2	3	fire-max		4	10							scha														0
Smoking	636	100	1	1	28		21				1	138	fire-min		4	9	fire-max		11	19							scha														0
Flaming	637	100	1		43		35				1	138	fire-min		10	19	fire-max		20	29							scha														0
Static	638	100	1	1	23		17				2	139	ltng-min		1	1	ltng-max		16	30							lcha														0
