Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Save Bits S12	Save Add S12	Save Param Bits S12	*eol
item_damage_undead_perlevel	244		1	6											91	10	1024		6	0	6	0			2	3	level	item_undeaddamage_percent						1					107	8	1	ModStr4f	ModStr4f	increaseswithplaylevelX								6	0		0
item_tohit_demon_perlevel	245		1	6											55	10	1024		6	0	6	0			2	1	level	item_demon_tohit						1					109	6	1	ModStr4j	ModStr4j	increaseswithplaylevelX								6	0		0
item_tohit_undead_perlevel	246		1	6											12	10	1024		6	0	6	0			2	1	level	item_undead_tohit						1					105	6	1	ModStr4k	ModStr4k	increaseswithplaylevelX								6	0		0
item_crushingblow_perlevel	247		1	6											213	1024	1024		6	0	6	0			2	3	level	item_crushingblow						1					86	7	1	ModStr5c	ModStr5c	increaseswithplaylevelX								6	0		0
item_openwounds_perlevel	248		1	6											181	128	1024		6	0	6	0			2	3	level	item_openwounds						1					82	7	1	ModStr3m	ModStr3m	increaseswithplaylevelX								6	0		0
item_kick_damage_perlevel	249		1	6											104	128	1024		6	0	6	0			2	3	level	item_kickdamage						1					120	6	1	ModStr5e	ModStr5e	increaseswithplaylevelX								6	0		0
item_deadlystrike_perlevel	250		1	6											118	512	1024		6	0	6	0			2	3	level	item_deadlystrike						1					84	7	1	ModStr5q	ModStr5q	increaseswithplaylevelX								6	0		0
item_find_gems_perlevel	251		1														1024																																						0
item_replenish_durability	252		1	5											106	256	1024		5	0	6	0																	1	11	0	ModStre9t	ModStre9t									6	0		0
item_replenish_quantity	253		1	5											106	256	1024		5	0	6	0																	2	3	0	ModStre9v	ModStre9v									6	0		0
item_extra_stack	254		1												99	10	1024		8	0	8	0																	4	3	0	ModStre9i	ModStre9i									8	0		0
item_find_item	255		1														1024																																						0
item_crit_multiplier	256		1	7											31	25	1024		7	0	7	0												1					85	4	1	StrCritMultiplierStat	StrCritMultiplierStat									7	0		0
item_ds_multiplier	257		1	7											31	25	1024		7	0	7	0												1					86	4	1	StrDSMultiplierStat	StrDSMultiplierStat									7	0		0
item_crit_chance	258		1	7											31	25	1024		7	0	7	0												1					84	4	1	StrCritChanceStat	StrCritChanceStat									7	0		0
item_crush_damage_percent	259		1														1024																	1																					0
item_thrust_damage	260		1														1024																	1																					0
item_thrust_damage_percent	261		1														1024																	1																					0
item_absorb_slash	262		1														1024																																						0
item_absorb_crush	263		1														1024																																						0
item_absorb_thrust	264		1														1024																																						0
item_absorb_slash_percent	265		1														1024																																						0
item_absorb_crush_percent	266		1														1024																																						0
item_absorb_thrust_percent	267		1														1024																																						0
item_crushingblow_efficiency	268		1	7											98	40	1024		7	0	7	0												1					86	4	1	CrushEfficiency	CrushEfficiency									7	0		0
extra_cold_arrows	269		1	5													1024		6		5																		145	9	2	ColdArrowFires	ColdArrowFires	AdditionalArrows								5			0
item_shiny_appearance	270			7													1024		7	0	7	0																	255	19		StrAnniversaryEdition	StrAnniversaryEdition									7	0		0
joustreduction_leorics	271		1	5													1024		6		6																		150	3	0	joustreductionleorics	joustreductionleorics									6			0
map_glob_dropsocketed	272		1	9											1065	72	2011		7	20	7	20																	206	19	0	MapGlobDropSockets	MapGlobDropSockets									7	20		0
map_glob_dropbonus	273		1	9											1065	72	2012		7	20	7	20																	206	19	0	MapGlobDropBonus	MapGlobDropBonus									7	20		0
map_glob_dropethereal	274		1	9											1065	72	2013		7	20	7	20																	206	19	0	MapGlobDropEthereal	MapGlobDropEthereal									7	20		0
map_glob_bossdropstreasure	275		1	9											1065	72	2012		7	20	7	20																	207	19	0	MapGlobBossTreasure	MapGlobBossTreasure									7	20		0
treacherous	276			3											54	204	2014		8	0	3	0																	249	3	0	StrTreacherous	StrTreacherous									3	0		0
map_mon_att	277		1	16											15	10	119		10		10													1					115	8	2	MapMonHave	MapMonHave	ModStr1h								10			0
item_tohit_bytime	278		1	22										4		0	1024		22	0	22	0			6			tohit						1					180	17	1	ModStr1h	ModStr1h									22	0		0
item_tohitpercent_bytime	279		1	22										4		0	1024		22	0	22	0			6			item_tohit_percent						1					180	18	1	ModStr4c	ModStr4c									22	0		0
item_cold_damagemax_bytime	280		1	22										4		0	1024		22	0	22	0			6			coldmaxdam						1					180	17	1	ModStr1s	ModStr1s									22	0		0
item_fire_damagemax_bytime	281		1	22										4		0	1024		22	0	22	0			6			firemaxdam						1					180	17	1	ModStr1o	ModStr1o									22	0		0
item_ltng_damagemax_bytime	282		1	22										4		0	1024		22	0	22	0			6			lightmaxdam						1					180	17	1	ModStr1q	ModStr1q									22	0		0
item_pois_damagemax_bytime	283		1	22										4		0	1024		22	0	22	0			6			poisonmaxdam						1					180	17	1	ModStr4h	ModStr4h									22	0		0
item_resist_cold_bytime	284		1	22										4		0	1024		22	0	22	0			6			coldresist											180	18	2	ModStr1k	ModStr1k									22	0		0
item_resist_fire_bytime	285		1	22										4		0	1024		22	0	22	0			6			fireresist											180	18	2	ModStr1j	ModStr1j									22	0		0
item_resist_ltng_bytime	286		1	22										4		0	1024		22	0	22	0			6			lightresist											180	18	2	ModStr1l	ModStr1l									22	0		0
item_resist_pois_bytime	287		1	22										4		0	1024		22	0	22	0			6			poisonresist											180	18	2	ModStr1n	ModStr1n									22	0		0
item_absorb_cold_bytime	288		1	22										4		0	1024		22	0	22	0			6			item_absorbcold											180	18	1	ModStre9p	ModStre9p									22	0		0
item_absorb_fire_bytime	289		1	22										4		0	1024		22	0	22	0			6			item_absorbfire											180	18	1	ModStre9o	ModStre9o									22	0		0
item_absorb_ltng_bytime	290		1	22										4		0	1024		22	0	22	0			6			item_absorblight											180	18	1	ModStre9q	ModStre9q									22	0		0
item_absorb_pois_bytime	291		1	22										4		0	1024		22	0	22	0			6			item_absorbmagic																								22	0		0
item_find_gold_bytime	292		1	22										4		0	1024		22	0	22	0			6			item_goldbonus											180	18	2	ModStr1w	ModStr1w									22	0		0
item_find_magic_bytime	293		1	22										4		0	1024		22	0	22	0			6			item_magicbonus											180	18	1	ModStr1x	ModStr1x									22	0		0
item_regenstamina_bytime	294		1	22										4		0	1024		22	0	22	0			6			staminarecoverybonus											180	18	2	ModStr3v	ModStr3v									22	0		0
item_stamina_bytime	295		1	22										4		0	1024		22	0	22	0			6			maxstamina											180	17	1	ModStr5d	ModStr5d									22	0		0
item_damage_demon_bytime	296		1	22										4		0	1024		22	0	22	0			6			item_demondamage_percent						1					180	18	1	ModStr4e	ModStr4e									22	0		0
item_damage_undead_bytime	297		1	22										4		0	1024		22	0	22	0			6			item_undeaddamage_percent						1					180	18	1	ModStr4f	ModStr4f									22	0		0
item_tohit_demon_bytime	298		1	22										4		0	1024		22	0	22	0			6			item_demon_tohit						1					180	17	1	ModStr4j	ModStr4j									22	0		0
item_tohit_undead_bytime	299		1	22										4		0	1024		22	0	22	0			6			item_undead_tohit						1					180	17	1	ModStr4k	ModStr4k									22	0		0
item_crushingblow_bytime	300		1	22										4		0	1024		22	0	22	0			6			item_crushingblow						1					180	18	1	ModStr5c	ModStr5c									22	0		0
item_openwounds_bytime	301		1	22										4		0	1024		22	0	22	0			6			item_openwounds						1					180	18	1	ModStr3m	ModStr3m									22	0		0
item_kick_damage_bytime	302		1	22										4		0	1024		22	0	22	0			6			item_kickdamage						1					180	17	1	ModStr5e	ModStr5e									22	0		0
item_deadlystrike_bytime	303		1	22										4		0	1024		22	0	22	0			6			item_deadlystrike						1					180	18	1	ModStr5q	ModStr5q									22	0		0
item_find_gems_bytime	304		1											4		0	1024																																						0
item_pierce_cold	305		1	9											1432	513	1024				8	100																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									6	50		0
item_pierce_fire	306		1	9											1240	497	1024				8	100																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									6	50		0
item_pierce_ltng	307		1	9											1187	481	1024				8	100																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									6	50		0
item_pierce_pois	308		1	9											1322	506	1024				8	100																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									6	50		0
item_damage_vs_monster	309		1														1024																	1																					0
item_damage_percent_vs_monster	310		1														1024																	1																					0
item_tohit_vs_monster	311		1														1024																	1																					0
item_tohit_percent_vs_monster	312		1														1024																	1																					0
item_ac_vs_monster	313		1														1024																																						0
item_ac_percent_vs_monster	314		1														1024																																						0
firelength	315		1	16													1024																																						0
burningmin	316		1	16													1024																																						0
burningmax	317		1	16													1024																																						0
progressive_damage	318		1	3													1024																																						0
progressive_steal	319		1	3													1024																																						0
progressive_other	320		1	3													1024																																						0
progressive_fire	321		1	3													1024																																						0
progressive_cold	322		1	3													1024																																						0
progressive_lightning	323		1	3													1024																																						0
item_extra_charges	324		1	6													1024		6	0	6	0											1	1																		6	0		0
progressive_tohit	325		1	16													1024																																						0
poison_count	326		1	5													1024																	1																					0
damage_framerate	327		1	8													1024																																						0
pierce_idx	328		1	6													1024																																						0
passive_fire_mastery	329		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									9	50		0
passive_ltng_mastery	330		1	12											1054	408	1024		8	0	9	50																	88	4	1	ModitemdamLtngsk	ModitemdamLtngsk									9	50		0
passive_cold_mastery	331		1	12											1295	379	1024		8	0	9	50																	88	4	1	ModitemdamColdsk	ModitemdamColdsk									9	50		0
passive_pois_mastery	332		1	12											978	394	1024		8	0	9	50																	88	4	1	ModitemdamPoissk	ModitemdamPoissk									9	50		0
passive_fire_pierce	333		1	9												2578	1024		8	0	8	0																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									8	0		0
passive_ltng_pierce	334		1	9												2493	1024		8	0	8	0																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									8	0		0
passive_cold_pierce	335		1	9												1984	1024		8	0	8	0																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									8	0		0
passive_pois_pierce	336		1	9												2345	1024		8	0	8	0																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									8	0		0
passive_critical_strike	337		1	9													1024		8	0	8	0																														8	0		0
passive_dodge	338		1	9													1024		7	0	7	0																														7	0		0
passive_avoid	339		1	9													1024		7	0	7	0																														7	0		0
passive_evade	340		1	9													1024		7	0	7	0																														7	0		0
passive_warmth	341		1	9													1024		8	0	8	0																														8	0		0
passive_mastery_melee_th	342		1	11	8												1024		8	0	9	0																														8	0		0
passive_mastery_melee_dmg	343		1	11	8												1024		8	0	9	0																														8	0		0
passive_mastery_melee_crit	344		1	9	8												1024		8	0	8	0																														8	0		0
passive_mastery_throw_th	345		1	11	8												1024		8	0	8	0																														8	0		0
passive_mastery_throw_dmg	346		1	11	8												1024		8	0	9	0																														8	0		0
passive_mastery_throw_crit	347		1	9	8												1024		8	0	8	0																														8	0		0
passive_weaponblock	348		1	9	8												1024		8	0	8	0																														8	0		0
passive_summon_resist	349		1	9													1024		8	0	8	0																														8	0		0
modifierlist_skill	350			9													1024																																						0
modifierlist_level	351			8													1024																																						0
last_sent_hp_pct	352		1	8													1024																																						0
source_unit_type	353			5													1024																																						0
source_unit_id	354			32													1024																																						0
shortparam1	355			16													1024																																						0
questitemdifficulty	356																1024				2	0																														2	0		0
passive_mag_mastery	357		1	12											1211	431	1024		8	0	9	50																	88	4	1	ModitemdamMagisk	ModitemdamMagisk									9	50		0
passive_mag_pierce	358		1	9												2812	1024		8	0	8	0																														8	0		0
item_splashonhit	359		1	7	16						1			2	190	256	1024		21	0	7	0	16											1	domeleedamage	20			245	15	0	splash3	splash3									7	0	16	0
corrupted	360			10	10										54	204	1024		8	0	10	0	10																246	3	0	StrCorrupted	StrCorrupted									10	0	10	0
corruptor	361			1	16											54	1024				1	0																	245	0	0	StrCorruptNum	StrCorruptNum									12	0		0
item_elemskill_cold	362		1	4	3						1				76	1024	1024		4	0	4	0	3																157	1	1	ModStrColdskills	ModStrColdskills									3	0	3	0
item_elemskill_fire	363		1	4	3						1				76	1024	1024		4	0	4	0	3																157	1	1	ModStrFireskills	ModStrFireskills									3	0	3	0
item_elemskill_lightning	364		1	4	3						1				76	1024	1024		4	0	4	0	3																157	1	1	ModStrLightningskills	ModStrLightningskills									3	0	3	0
item_elemskill_poison	365		1	4	3						1				76	1024	1024		4	0	4	0	3																157	1	1	ModStrPoisonskills	ModStrPoisonskills									3	0	3	0
item_elemskill_magic	366		1	4	3						1				76	1024	1024		4	0	4	0	3																157	1	1	ModStrMagicskills	ModStrMagicskills									3	0	3	0
skill_cold_enchant	367		1	12													1024																																						0
max_curses	368		1	3													1024		3		3																		159	3	0	StrToMaxCurses	StrToMaxCurses									3			0
map_defense	369			1	16												1024				12	0																	244	2	1	StrCorruptNum	StrCorruptNum									12	0		0
map_play_magicbonus	370		1	12											577	102	1080		8	100	12	100																	210	4	2	MapGlobMF	MapGlobMF		6	4	2	MapGlobMFGF	MapGlobMFGF			8	100		0
map_play_goldbonus	371		1	12											187	34	1079		9	100	12	100																	210	4	2	MapGlobGF	MapGlobGF		6	4	2	MapGlobMFGF	MapGlobMFGF			9	100		0
map_glob_density	372			1	16											54	2000				12	100																	211	4	2	MapGlobDensity	MapGlobDensity									12	0		0
map_play_addexperience	373		1	9											36015	519	1085		3	0	9	50																	213	4	2	MapGlobExp	MapGlobExp									9	50		0
map_glob_arealevel	374			1	16											54	2001				5	10																	209	1	1	MapGlobLevel	MapGlobLevel									12	0		0
map_glob_monsterrarity	375			1	16											54	2002				5	0																	212	4	2	MapGlobMonRarity	MapGlobMonRarity									12	0		0
map_mon_firemindam	376		1	16											11	10	48		8	0	8	0												1					102	6	2	MapMonHave	MapMonHave	ModStr1p								8	0		0
map_mon_firemaxdam	377		1	16											19	10	49		8	0	9	0												1					101	6	2	MapMonHave	MapMonHave	ModStr1o								9	0		0
map_mon_lightmindam	378		1	16											12	10	50		6	0	6	0												1					99	6	2	MapMonHave	MapMonHave	ModStr1r								6	0		0
map_mon_lightmaxdam	379		1	16											17	10	51		9	0	10	0												1					98	6	2	MapMonHave	MapMonHave	ModStr1q								10	0		0
map_mon_magicmindam	380		1	16											196	20	52		6	0	8	0												1					104	6	2	MapMonHave	MapMonHave	strModMagicDamage								8	0		0
map_mon_magicmaxdam	381		1	16											183	20	53		7	0	9	0												1					103	6	2	MapMonHave	MapMonHave	strModMagicDamage								9	0		0
map_mon_coldmindam	382		1	16											451	512	54		6	0	8	0												1					96	6	2	MapMonHave	MapMonHave	ModStr1t								8	0		0
map_mon_coldmaxdam	383		1	16											128	340	55		8	0	9	0												1					95	6	2	MapMonHave	MapMonHave	ModStr1s								9	0		0
map_mon_coldlength	384		1	16											77	4	56		8	0	8	0												1																		8	0		0
map_mon_poisonmindam	385		1	19											12	28	57		9	0	10	0												1					92	6	2	MapMonHave	MapMonHave	ModStr4i								10	0		0
map_mon_poisonmaxdam	386		1	19											11	34	58		9	0	10	0												1					91	6	2	MapMonHave	MapMonHave	ModStr4h								10	0		0
map_mon_poisonlength	387		1	16											0	4	59		8	0	9	0												1																		9	0		0
map_mon_passive_fire_mastery	388		1	12											1117	415	329		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamFiresk								9	50		0
map_mon_passive_ltng_mastery	389		1	12											1054	408	330		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamLtngsk								9	50		0
map_mon_passive_cold_mastery	390		1	12											1295	379	331		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamColdsk								9	50		0
map_mon_passive_pois_mastery	391		1	12											978	394	332		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamPoissk								9	50		0
map_mon_fasterattackrate	392	1	1	9											1042	156	93		7	20	8	50												1					145	8	2	MapMonHave	MapMonHave	ModStr4m	4	8	2	MapMonHave	MapMonHave	MapAtkCastRate		7	20		0
map_mon_fastercastrate	393	1	1	9											3876	156	105		7	20	8	50																	142	8	2	MapMonHave	MapMonHave	ModStr4v	4	8	2	MapMonHave	MapMonHave	MapAtkCastRate		7	20		0
map_mon_tohit	394		1	16											15	10	119		10		10													1					115	8	2	MapMonHave	MapMonHave	ModStr1h	5	8	2	MapMonHave	MapMonHave	MapPierceAR		10			0
map_mon_ac%	395		1	11											47	20	16		9	0	9	0			13			armorclass											114	8	2	MapMonHave	MapMonHave	Modstr2v								9	0		0
map_mon_absorbcold_percent	396		1	7											5486	102	148		7	0	7	0																	25	7	2	MapMonHave	MapMonHave	ModStr5m								7	0		0
map_mon_absorbmagic_percent	397		1	7											5486	102	146		7	0	7	0																	26	7	2	MapMonHave	MapMonHave	ModStr5k								7	0		0
map_mon_absorblight_percent	398		1	7											5486	102	144		7	0	7	0																	24	7	2	MapMonHave	MapMonHave	ModStr5i								7	0		0
map_mon_absorbfire_percent	399		1	7											5486	102	142		7	0	7	0																	23	7	2	MapMonHave	MapMonHave	ModStr5g								7	0		0
map_mon_normal_damage_reduction	400		1	10											188	200	34		10	0	10	0																	22	9	2	MapMonTake	MapMonTake	MapFlatPhysRed								10	0		0
map_mon_velocitypercent	401	1	1	10		1									5486	102	67		7	30	7	30																	155	7	2	MapMonHave	MapMonHave	MapMonVelocity								7	30		0
map_mon_hpregen	402		1	10											451	410	74		12	30	12	30																	56	6	2	MapMonHave	MapMonHave	ModStr2l								12	30		0
map_mon_lifedrainmindam	403		1	16											1044	341	60		7	0	7	0												1					88	7	2	MapMonHave	MapMonHave	ModStr2z								7	0		0
map_mon_fastergethitrate	404	1	1	9											1065	72	99		7	20	8	50																	139	8	2	MapMonHave	MapMonHave	ModStr4p								7	20		0
map_mon_maxhp_percent	405		1	16											32093	204	76		6	10	6	10			11			maxhp											58	7	2	MapMonHave	MapMonHave	MapMaxHP								6	10		0
map_mon_pierce	406		1	7											1924	2048	156		7	0	7	0												1					132	8	2	MapMonHave	MapMonHave	ModPierceChance	5	8	2	MapMonHave	MapMonHave	MapPierceAR		7	0		0
map_mon_openwounds	407		1	7							1				23	10	135		7	0	7	0												1	domeleedamage	15	domissiledamage	15	83	7	2	MapMonHave	MapMonHave	ModStr3m								7	0		0
map_mon_crushingblow	408		1	7							1				98	40	136		7	0	7	0												1	domeleedamage	16	domissiledamage	16	87	7	2	MapMonHave	MapMonHave	ModStr5c								7	0		0
map_mon_curse_resistance	409			9											159	33	109		14	0	9	0																	55	7	2	MapMonHave	MapMonHave	MapMonCurse								9	0		0
map_play_ac%	410		1	16											47	20	1016		14	60	14	60			13			armorclass											198	7	2	MapPlayHave	MapPlayHave	Modstr2v								14	60		0
map_play_fastergethitrate	411	1	1	9											1065	72	1099		14	60	14	60																	199	8	2	MapPlayHave	MapPlayHave	ModStr4p								14	60		0
map_play_toblock	412		1	10											89	204	1020		14	60	14	60																	199	7	2	MapPlayHave	MapPlayHave	MapPlayBlock								14	60		0
map_play_hpregen	413			10											451	410	1074		14	60	14	300																	204	6	2	MapPlayHave	MapPlayHave	ModStr2w								14	60		0
map_mon_passive_fire_pierce	414		1	9												2578	333		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonFirePierce								8	0		0
map_mon_passive_ltng_pierce	415		1	9												2493	334		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonLtngPierce								8	0		0
map_mon_passive_cold_pierce	416		1	9												1984	335		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonColdPierce								8	0		0
map_mon_passive_pois_pierce	417		1	9												2345	336		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonPoisPierce								8	0		0
map_play_maxfireresist	418		1	9											584	256	1040		14	60	14	60																	204	7	2	MapPlayHave	MapPlayHave	ModStr5u	8	7	2	MapPlayHave	MapPlayHave	MapPlayMaxAllRes		14	60		0
map_play_maxlightresist	419		1	9											584	256	1042		14	60	14	60																	203	7	2	MapPlayHave	MapPlayHave	ModStr5w	8	7	2	MapPlayHave	MapPlayHave	MapPlayMaxAllRes		14	60		0
map_play_maxcoldresist	420		1	9											584	256	1044		14	60	14	60																	202	7	2	MapPlayHave	MapPlayHave	ModStr5v	8	7	2	MapPlayHave	MapPlayHave	MapPlayMaxAllRes		14	60		0
map_play_maxpoisonresist	421		1	9											526	256	1046		14	60	14	60																	201	7	2	MapPlayHave	MapPlayHave	ModStr5y	8	7	2	MapPlayHave	MapPlayHave	MapPlayMaxAllRes		14	60		0
item_replenish_charges	422		1	5											106	256	1024		5	0	6	0																	1	3	0	ModStrRepCharge1	ModStrRepCharge1	ModStrRepCharge2								6	0		0
item_leap_speed	423		1	5													1024		5		5																		120	4	1	ModLeapSpeed	ModLeapSpeed									5			0
item_healafterhit	424		1	7							1				30	101	1024		3	0	7	0													domeleedamage	28	domissiledamage	28	16	1	1	ModItemHPaH	ModItemHPaH									7	0		0
passive_phys_pierce	425		1	9													1024		8	0	8	0												1					158	20	1	ModPhysPierce	ModPhysPierce									8	0		0
map_mon_ed%	426		1	16											15	10	25		10		10													1					115	8	2	MapMonHave	MapMonHave	MapEnhancedDmg								10			0
map_mon_splash	427		1	7	16						1			2	190	256	359		21	0	7	0	16											1	domeleedamage	20			160	9	0	MapMon	MapMon	MapMonSplash								7	0	16	0
map_play_fireresist	428		1	9											584	256	1039		14	60	9	200																	204	7	2	MapPlayHave	MapPlayHave	ModStr1j	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		14	60		0
map_play_lightresist	429		1	9											584	256	1041		14	60	9	200																	203	7	2	MapPlayHave	MapPlayHave	ModStr1l	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		14	60		0
map_play_coldresist	430		1	9											584	256	1043		14	60	9	200																	202	7	2	MapPlayHave	MapPlayHave	ModStr1k	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		14	60		0
map_play_poisonresist	431		1	9											526	256	1045		14	60	9	200																	201	7	2	MapPlayHave	MapPlayHave	ModStr1n	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		14	60		0
map_mon_phys_as_extra_ltng	432		1	10												2578	3000		8	0	9	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraLtng								12	0		0
map_mon_phys_as_extra_cold	433		1	10												2578	3000		8	0	9	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraCold								12	0		0
map_mon_phys_as_extra_fire	434		1	10												2578	3000		8	0	9	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraFire								12	0		0
map_mon_phys_as_extra_pois	435		1	10												2578	3000		8	0	9	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraPois								12	0		0
map_mon_phys_as_extra_mag	436		1	10												2578	3000		8	0	9	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraMag								12	0		0
map_glob_add_mon_doll	437			12												54	2003				12	0																	160	3	0	MapAddMonDoll	MapAddMonDoll									12	0		0
map_glob_add_mon_succ	438			12												54	2003				12	0																	160	3	0	MapAddMonSucc	MapAddMonSucc									12	0		0
map_glob_add_mon_vamp	439			12												54	2003				12	0																	160	3	0	MapAddMonVamp	MapAddMonVamp									12	0		0
map_glob_add_mon_cow	440			12												54	2003				12	0																	160	3	0	MapAddMonCow	MapAddMonCow									12	0		0
map_glob_add_mon_horde	441			12												54	2003				12	0																	160	3	0	MapAddMonHorde	MapAddMonHorde									12	0		0
map_glob_add_mon_ghost	442			12												54	2003				12	0																	160	3	0	MapAddMonGhost	MapAddMonGhost									12	0		0
extra_bonespears	443		1	5													1024		5		5																		120	9	2	StrExtraBonespear	StrExtraBonespear	StrExtraBonespear2								5			0
extra_revives	444		1	5													1024		5		5																		151	1	1	StrExtraRevives2	StrExtraRevives2									5			0
immune_stat	445		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									9	50		0
mon_cooldown1	446		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									9	50		0
mon_cooldown2	447		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									9	50		0
mon_cooldown3	448		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									9	50		0
map_mon_deadlystrike	449		1	7											31	25	141		7	0	7	0												1					85	7	2	MapMonHave	MapMonHave	ModStr5q								7	0		0
map_mon_cannotbefrozen	450		1	2											15011	2048	153		1		1																		20	9	0	MapMonHave	MapMonHave	ModStr5z								1			0
map_play_fasterattackrate	451	1	1	9											1042	156	1093		7	20	7	20												1					145	7	2	MapPlayHave	MapPlayHave	ModStr4m	7	7	2	MapPlayHave	MapPlayHave	MapAtkCastSpeed		7	20		0
map_play_fastercastrate	452	1	1	9											3876	156	1105		7	20	7	20																	142	7	2	MapPlayHave	MapPlayHave	ModStr4v	7	7	2	MapPlayHave	MapPlayHave	MapAtkCastSpeed		7	20		0
map_mon_skillondeath	453		1	7	16						1			2	11	9	197		21	0	7	0	16												killed	30			160	15		Moditemskondeath	Moditemskondeath									7	0	16	0
map_play_maxhp_percent	454		1	16											32093	204	1076		6	10	6	10			11			maxhp											58	7	2	MapPlayHave	MapPlayHave	ModStr2g								6	10		0
map_play_maxmana_percent	455		1	16											56452	204	1077		6	10	6	10			11			maxmana											54	7	2	MapPlayHave	MapPlayHave	ModStr2h								6	10		0
map_play_damageresist	456		1	9											152	68	1036		8	0	8	100																	60	7	2	MapPlayHave	MapPlayHave	ModStrMapPlayerPDR								8	0		0
map_play_velocitypercent	457	1	1	10		1											1067		7	30	7	30																		7	2	MapPlayHave	MapPlayHave	ModVelocity								7	30		0
heroic	458			3											54	204	1024		8	0	3	0																	249	3	0	StrHeroic	StrHeroic									3	0		0
extra_spirits	459		1	5													1024		5		5																		149	1	1	StrExtraSpirits	StrExtraSpirits									5			0
gustreduction	460		1	5													1024		6		6																		150	3	0	GustReduction	GustReduction									6			0
extra_skele_war	461		1	5													1024		6		5																		149	1	1	ExtraSkeleWar	ExtraSkeleWar									5			0
extra_skele_mage	462		1	5													1024		6		5																		149	1	1	ExtraSkeleMage	ExtraSkeleMage									5			0
extra_hydra	463		1	5													1024		6		5																		149	1	1	ExtraHydra	ExtraHydra									5			0
extra_valk	464		1	5													1024		6		5																		149	1	1	ExtraValk	ExtraValk									5			0
joustreduction	465		1	5													1024		6		6																		150	3	0	joustreduction	joustreduction									6			0
grims_extra_skele_mage	466		1	5													1024		6		5																		149	1	1	ExtraSkeleMageGrim	ExtraSkeleMageGrim									5			0
map_play_lightradius	467		1	9											451	410	1089		14	120	8	120																	196	9	2	MapPlayHave	MapPlayHave	StrMapLightRadius								14	120		0
blood_warp_life_reduction	468		1	5													1024		5		5																		150	3	0	bloodwarplifereduction	bloodwarplifereduction									5			0
pierce_count	469		1	5													1024		5		5																															5			0
map_glob_add_mon_souls	470			12												54	2003				12	0																	160	3	0	MapAddMonSouls	MapAddMonSouls									12	0		0
map_glob_add_mon_fetish	471			12												54	2003				12	0																	160	3	0	MapAddMonFetish	MapAddMonFetish									12	0		0
dclone_clout	472			3											54	204	1024		8	0	3	0																	255	3	0	DcloneClout	DcloneClout									3	0		0
maxlevel_clout	473			3											54	204	1024		8	0	3	0																	255	3	0	MaxlevelClout	MaxlevelClout									3	0		0
dev_clout	474			3											54	204	1024		8	0	3	0																	255	3	0	DevClout	DevClout									3	0		0
extra_skele_archer	475		1	5													1024		6		5																		149	1	1	ExtraSkeleArcher	ExtraSkeleArcher									5			0
